elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
9300,10877.734,203.762,103.027,306.789,414474
9360,10875.125,205.512,103.027,308.520,413738
9420,10925.797,207.312,104.027,311.328,415946
9480,10908.453,209.371,105.027,314.398,419005
9540,10935.422,211.391,105.027,316.434,420477
9600,10970.516,213.312,105.027,318.340,442189
9660,10977.406,215.355,105.027,320.379,448537
9720,11091.969,217.453,105.027,322.484,450262
9780,11222.109,219.359,105.027,324.379,450607
9840,11278.547,221.438,105.027,326.469,452608
9900,11349.875,223.410,105.027,328.438,452654
9960,11257.859,225.273,105.027,330.289,451757
10020,11081.219,227.359,105.027,332.395,450952
10080,11318.297,229.238,105.027,334.258,451780
10140,11123.047,231.188,105.027,336.207,457783
10200,11348.484,233.344,105.027,338.371,483405
10260,11359.172,235.031,105.027,340.059,463901
10320,11454.781,237.492,105.027,342.523,489776
10380,11328.203,239.383,105.027,344.410,489661
10440,11547.391,241.395,107.027,348.414,492306
10500,11557.500,243.375,107.027,350.402,493364
10560,11539.547,245.199,107.027,352.230,497136
10620,11583.703,247.406,107.027,354.434,497366
10680,11553.109,249.113,107.027,356.133,497113
10740,11634.891,251.289,107.027,358.309,498516
10800,11680.016,253.141,107.027,360.168,498746
10860,11743.672,255.215,107.027,362.230,504450
10920,11777.906,257.410,108.027,365.441,517445
10980,11838.000,259.461,113.027,372.480,525495
11040,11927.672,261.445,115.027,376.465,525403
11100,11915.000,263.398,121.027,384.418,523057
