current_epoch,passes_total
460,457950
460,458155
460,458547
461,458942
461,459325
461,459527
462,459883
462,460269
462,460487
463,460882
463,461213
463,461462
464,461854
464,462161
464,462404
465,462798
465,463186
465,463510
466,463771
466,463991
466,464324
467,464716
467,465109
467,465306
468,465698
468,466091
468,466290
469,466640
469,467027
469,467337
470,467602
470,467999
470,468388
470,468545
471,468941
471,469247
471,469524
472,469915
472,470114
472,470499
473,470847
473,471237
473,471490
474,471815
474,472201
474,472366
475,472748
475,473147
475,473342
476,473725
476,474081
476,474318
477,474662
477,475053
477,475411
478,475638
478,476023
478,476301
479,476567
479,476953
479,477040
479,477426
480,477813
480,478202
480,478364
481,478745
481,479131
481,479338
482,479731
482,480073
482,480318
483,480676
483,481063
483,481459
484,481661
484,482041
484,482245
485,482632
485,482977
485,483193
486,483570
486,483956
486,484152
486,484547
487,484892
487,485281
487,485477
488,485860
488,486250
488,486447
489,486683
489,487070
489,487465
490,487660
490,488044
490,488384
491,488638
491,488981
491,489278
492,489574
492,489955
492,490169
493,490567
493,490905
493,491104
493,491494
494,491881
494,492277
494,492477
495,492862
495,493207
495,493403
496,493792
496,494157
496,494384
497,494767
497,495119
497,495327
498,495711
498,496093
498,496213
499,496563
499,496945
499,497112
499,497501
500,497887
500,498275
500,498479
501,498862
501,499010
501,499351
502,499746
502,500128
502,500331
503,500718
503,501103
503,501265
504,501655
504,502043
504,502435
505,502638
505,503026
505,503189
506,503571
506,503950
506,504223
507,504545
507,504926
507,505126
507,505473
508,505748
508,506107
508,506305
509,506695
509,507075
509,507240
510,507638
510,508018
510,508212
511,508596
511,508975
511,509317
511,509517
512,509899
512,510099
512,510476
513,510869
513,511156
513,511415
514,511801
514,512020
514,512394
515,512783
515,513165
515,513399
516,513706
516,514091
516,514282
517,514671
517,515060
517,515156
517,515505
518,515897
518,516284
518,516489
519,516883
519,517224
519,517434
520,517817
520,518080
520,518408
521,518784
521,519168
521,519364
522,519710
522,520098
522,520315
523,520692
523,521079
523,521277
524,521666
524,522011
524,522201
525,522587
525,522970
525,523359
526,523556
526,523938
526,524264
526,524485
527,524749
527,524957
527,525333
528,525722
528,526071
528,526332
529,526655
529,527050
529,527242
530,527621
530,527970
530,528169
531,528554
531,528939
531,529314
532,529524
532,529908
532,530251
532,530447
533,530821
533,531145
533,531406
534,531787
534,532141
534,532339
535,532721
535,533114
535,533380
536,533695
536,534074
536,534117
536,534503
537,534877
537,535264
537,535457
538,535844
538,536231
538,536387
539,536767
539,537127
539,537349
540,537735
540,538008
540,538282
541,538670
541,539048
541,539386
542,539644
542,540021
542,540215
543,540559
543,540935
543,541127
544,541513
544,541902
544,542107
545,542499
545,542833
545,543225
545,543427
546,543703
546,544035
546,544273
547,544654
547,544996
547,545381
548,545575
548,545954
548,546275
549,546528
549,546903
549,547117
549,547446
550,547827
550,548023
