current_epoch,passes_total
678,676264
679,676596
679,676931
679,677164
680,677535
680,677901
680,678226
681,678416
681,678785
681,679021
681,679339
682,679664
682,679957
682,680225
683,680599
683,680966
683,681158
684,681491
684,681864
684,682049
685,682418
685,682682
685,683021
685,683210
686,683591
686,683856
686,684153
687,684486
687,684845
687,685142
688,685412
688,685783
688,685977
688,686307
689,686683
689,686982
689,687249
690,687582
690,687944
690,688137
691,688509
691,688876
691,689028
692,689391
692,689771
692,690136
692,690324
693,690675
693,690996
693,691186
694,691562
694,691641
694,692001
694,692329
695,692700
695,692889
695,693259
696,693615
696,693987
696,694180
697,694522
697,694898
697,695082
698,695460
698,695790
698,695976
699,696343
699,696717
699,697077
699,697247
700,697618
700,697874
700,698178
701,698543
701,698914
701,699178
702,699444
702,699805
702,699980
703,700353
703,700687
703,700948
703,701132
704,701495
704,701847
704,702002
705,702362
705,702726
705,703098
705,703284
706,703619
706,703975
706,704177
707,704540
707,704815
707,705111
708,705447
708,705822
708,706140
709,706378
709,706710
709,706943
709,707270
710,707625
710,707983
710,708211
711,708510
711,708876
711,709068
712,709430
712,709789
712,709842
712,710206
713,710569
713,710935
713,711131
714,711461
714,711838
714,712047
715,712405
715,712783
715,713121
715,713289
716,713650
716,713899
716,714199
717,714561
717,714894
717,715211
718,715446
718,715805
718,715994
719,716359
719,716688
719,716881
719,717249
720,717608
720,717973
720,718132
721,718494
721,718859
721,718933
721,719307
722,719670
722,719965
722,720190
723,720553
723,720923
723,721244
724,721442
724,721806
724,721999
725,722352
725,722725
725,722873
725,723230
726,723604
726,723962
726,724153
727,724485
727,724852
727,725047
728,725403
728,725767
728,726129
728,726289
729,726652
729,726973
729,727191
730,727552
730,727726
730,727973
731,728333
731,728693
731,728882
731,729207
732,729569
732,729932
732,730121
733,730488
733,730808
733,731004
734,731376
734,731737
734,732100
734,732250
735,732618
735,732898
735,733169
736,733531
736,733899
736,734044
737,734413
737,734775
737,734993
738,735330
738,735662
738,735840
738,736207
739,736563
739,736905
739,736961
740,737321
740,737670
740,738031
740,738219
741,738549
741,738906
741,739093
742,739459
742,739750
742,740002
743,740323
743,740679
743,741005
743,741228
744,741600
744,741802
744,742115
745,742483
745,742848
745,743087
746,743350
746,743714
746,743904
746,744278
747,744631
747,744959
747,745141
748,745507
748,745855
748,745947
748,746274
749,746639
749,746995
749,747187
750,747556
750,747814
750,748072
751,748437
751,748810
751,749102
752,749338
752,749698
752,749907
752,750264
753,750628
753,750990
753,751172
754,751512
754,751870
754,752070
755,752391
755,752750
755,752934
756,753299
756,753667
756,753994
756,754181
757,754543
757,754843
757,755086
758,755445
758,755765
758,756117
759,756318
759,756671
759,756922
759,757192
760,757555
760,757925
760,758114
761,758479
761,758838
761,758986
762,759343
762,759711
762,759894
762,760255
763,760584
763,760941
763,761135
764,761503
764,761825
764,762015
765,762373
765,762736
765,763077
765,763271
766,763626
766,763844
766,764066
767,764418
767,764790
767,764972
768,765296
768,765657
768,765848
768,766215
769,766578
769,766906
769,767090
770,767447
770,767809
770,767999
771,768369
771,768705
771,769063
771,769237
772,769604
772,769895
772,770152
773,770483
773,770853
773,771037
774,771395
774,771765
774,771981
775,772283
775,772639
775,772823
775,773076
776,773407
776,773761
776,773945
777,774295
777,774657
777,774982
777,775178
778,775532
778,775853
778,776091
779,776451
779,776780
779,777114
780,777334
780,777704
780,777907
780,778213
781,778573
781,778929
781,779131
782,779495
782,779810
782,779992
783,780354
783,780722
783,780917
784,781268
784,781597
784,781943
784,782015
785,782372
785,782737
785,783066
786,783258
786,783617
786,783901
786,784156
787,784514
787,784848
787,785132
788,785400
788,785595
788,785969
789,786306
789,786665
789,786847
789,787225
790,787578
790,787906
790,788082
791,788452
791,788808
791,789000
792,789324
792,789691
792,790053
792,790243
793,790604
793,790885
793,791117
794,791474
794,791825
794,792052
795,792376
795,792705
795,792892
796,793254
796,793596
796,793771
796,794086
797,794455
797,794812
797,795024
798,795376
798,795704
798,795889
799,796253
799,796604
799,796964
799,797131
800,797487
800,797824
800,798046
801,798402
801,798726
801,799074
802,799291
802,799643
802,799849
802,800078
803,800437
803,800798
803,800989
804,801345
804,801680
804,801872
804,802230
805,802594
805,802953
805,803100
806,803450
806,803793
806,803995
807,804356
807,804677
807,805027
808,805231
808,805583
808,805808
808,806084
809,806435
809,806785
809,807039
810,807335
810,807653
810,807844
810,808205
811,808560
811,808921
811,808968
812,809326
812,809676
812,809873
813,810242
813,810557
813,810918
813,811114
814,811476
814,811770
814,812028
815,812363
815,812718
815,813022
816,813266
816,813628
816,813813
816,814130
817,814495
817,814864
817,815076
818,815407
818,815728
818,815908
819,816264
819,816622
819,816976
819,817110
820,817449
820,817814
820,817893
821,818256
821,818577
821,818936
821,819122
822,819483
822,819763
822,819972
823,820335
823,820689
823,821011
824,821234
824,821578
824,821765
824,822085
825,822439
825,822790
825,823013
826,823300
826,823657
826,823859
827,824217
827,824572
827,824930
827,825086
828,825446
828,825798
828,825982
829,826340
829,826664
829,826858
829,827099
830,827468
830,827723
830,827971
831,828325
831,828687
831,828966
832,829219
832,829536
832,829725
832,830081
833,830430
833,830800
833,830983
834,831295
834,831641
834,831825
834,832173
835,832537
835,832859
835,833041
836,833391
836,833723
836,833967
837,834278
837,834650
837,834997
837,835196
838,835542
838,835587
838,835956
839,836306
839,836667
839,836865
840,837212
840,837529
840,837876
840,838072
841,838426
841,838792
841,838945
842,839311
842,839623
842,839846
843,840206
843,840523
843,840866
843,841065
844,841419
844,841769
844,841949
845,842271
845,842636
845,842876
845,843172
846,843485
846,843745
846,844022
847,844371
847,844624
847,844762
847,845119
848,845490
848,845848
848,846042
849,846363
849,846686
849,846906
850,847258
850,847604
850,847915
850,848112
851,848477
851,848671
851,849023
852,849347
852,849702
852,849931
853,850254
853,850614
853,850808
853,851126
854,851471
854,851822
854,852003
855,852356
855,852678
855,852855
856,853194
856,853439
856,853752
856,853941
857,854304
857,854673
857,855023
858,855204
858,855526
858,855798
858,856051
859,856397
859,856743
859,856986
860,857265
860,857624
860,857813
860,858159
861,858519
861,858841
861,859025
862,859387
862,859730
862,859921
863,860251
863,860618
863,860980
863,861162
864,861520
864,861760
864,862002
865,862259
865,862618
865,862796
865,863121
866,863472
866,863826
866,864006
867,864364
867,864725
867,864868
868,865220
868,865579
868,865813
868,866125
869,866488
869,866801
869,866995
870,867347
870,867703
870,868039
871,868219
871,868570
871,868824
871,869124
872,869465
872,869832
872,869973
873,870329
873,870672
873,870858
873,871062
874,871428
874,871790
874,871980
875,872320
875,872624
875,872830
876,873201
876,873549
876,873887
876,874105
877,874424
877,874635
877,874964
878,875332
878,875684
878,875926
878,876115
879,876468
879,876675
879,877010
880,877325
880,877673
880,877899
881,878223
881,878562
881,878723
881,879071
882,879422
882,879763
882,879844
883,880161
883,880518
883,880857
883,881046
884,881406
884,881698
884,881908
885,882252
885,882616
885,882911
885,883124
886,883445
886,883646
886,883992
887,884339
887,884705
887,884893
888,885208
888,885565
888,885753
888,886105
889,886409
889,886760
889,886937
890,887283
890,887585
890,887778
890,888132
891,888492
891,888643
891,888922
892,889229
892,889588
892,889849
892,890110
893,890455
893,890606
893,890969
894,891317
894,891662
894,891853
895,892215
895,892537
895,892726
895,893087
896,893433
896,893783
896,893941
897,894293
897,894641
897,894833
898,895187
898,895502
898,895799
898,896042
899,896397
899,896629
899,896899
900,897243
