elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes
7200,8566.078,156.461,99.027,255.488,328197
7260,8585.297,158.863,99.027,257.895,346551
7320,8569.547,160.809,102.027,262.840,346045
7380,8634.141,162.844,103.027,265.863,345654
7440,8508.797,164.727,103.027,267.762,345033
7500,8584.469,166.754,103.027,269.781,345332
7560,8668.625,168.395,103.027,271.426,343469
7620,8688.188,170.352,103.027,273.387,348023
7680,8670.656,172.477,103.027,275.504,343860
7740,8620.391,174.457,103.027,277.488,343607
7800,8701.078,176.668,103.027,279.695,343239
7860,8671.016,178.688,103.027,281.715,367435
7920,8698.781,180.648,103.027,283.676,367504
7980,8712.562,182.430,103.027,285.457,364008
8040,8607.344,184.480,103.027,287.504,367067
8100,8710.594,186.438,103.027,289.469,366791
8160,8792.406,188.176,103.027,291.199,363663
8220,8887.203,190.336,103.027,293.355,363134
8280,8971.531,192.328,103.027,295.363,363272
8340,8864.438,194.258,103.027,297.277,363203
8400,8929.781,196.363,103.027,299.391,362490
8460,9029.219,198.352,103.027,301.379,360558
8520,9034.922,200.551,103.027,303.586,386985
8580,9144.422,202.398,103.027,305.434,376267
8640,9089.328,204.270,103.027,307.281,359362
8700,8847.609,206.578,103.027,309.609,384639
8760,8927.656,208.457,103.027,311.488,382500
8820,8999.766,210.469,103.027,313.484,381787
8880,9076.453,212.453,103.027,315.480,381994
8940,9187.719,214.242,103.027,317.270,381695
9000,9056.344,216.246,103.027,319.281,380108
9060,9019.531,218.156,103.027,321.188,377118
9120,9055.953,220.059,103.027,323.078,377118
9180,9103.547,222.102,103.027,325.129,378958
9241,9138.375,224.258,103.027,327.285,376888
9300,9222.953,226.508,105.027,331.543,401245
9360,9052.688,228.109,105.027,333.152,383006
9420,9156.312,230.316,105.027,335.348,379648
9480,9252.141,232.508,105.027,337.527,404695
9540,9123.578,234.223,107.027,341.250,383121
9600,9122.844,236.586,107.027,343.621,407133
9660,9150.594,238.484,107.027,345.496,405201
9720,8704.078,240.488,107.027,347.520,405086
9780,8705.641,242.539,107.027,349.562,408743
9840,8781.156,244.629,107.027,351.641,408283
9900,8863.625,246.465,107.027,353.496,408421
9960,8944.078,248.281,107.027,355.301,406535
10020,9024.797,250.309,107.027,357.332,407041
10080,9116.922,252.496,107.027,359.531,407961
10140,9105.891,254.539,107.027,361.559,408605
10200,9035.859,256.598,107.027,363.629,407915
10260,9041.000,258.461,107.027,365.461,404764
10320,8899.266,260.566,107.027,367.586,404005
10380,8713.469,262.590,107.027,369.617,407846
10440,8714.859,264.465,107.027,371.496,409824
10500,8715.391,266.961,107.027,373.988,430455
10560,8815.906,268.918,107.027,375.934,428937
10620,8938.594,270.941,107.027,377.953,429397
10680,9030.297,272.875,107.027,379.898,428707
10740,9122.688,274.949,107.027,381.973,429167
